index,project_name,address,floor_area_sqm,type_of_land,contract_date,property_type,tenure,completion_date,type_of_sale,postal_district,postal_sector,postal_code,region,area,month,latitude,longitude,floor_num,unit_num,price
3789,N.A.,355 Joo Chiat Place ,165,Land,29-Sep-2017,Terrace House,Freehold,1968,Resale,15,42,428019,East Region,Bedok,2017-9,1.31551036316,103.865898554,,,2184969
3790,CORALS AT KEPPEL BAY,11 Keppel Bay Drive  #06-20 ,129,Strata,29-Sep-2017,Condominium,99 Yrs From 26/02/2007,2016,Resale,4,9,98017,Central Region,Bukit Merah,2017-9,1.26516158861,103.81610062700001,6.0,20.0,2552665
3791,KOVAN RESIDENCES,5 Kovan Road  #10-19 ,164,Strata,29-Sep-2017,Condominium,99 Yrs From 31/12/2007,2011,Resale,19,54,544894,North East Region,Hougang,2017-9,1.36120119685,103.88467173,10.0,19.0,1823977
3792,CARIBBEAN AT KEPPEL BAY,46 Keppel Bay Drive  #09-130 ,83,Strata,28-Sep-2017,Condominium,99 Yrs From 16/08/1999,2004,Resale,4,9,98635,Central Region,Bukit Merah,2017-9,1.26758106212,103.81512392799999,9.0,130.0,1408828
3793,REFLECTIONS AT KEPPEL BAY,1 Keppel Bay View  #03-03 ,150,Strata,28-Sep-2017,Condominium,99 Yrs From 15/03/2006,2011,Resale,4,9,98402,Central Region,Bukit Merah,2017-9,1.26816216653,103.865898554,3.0,3.0,2168147
3794,REFLECTIONS AT KEPPEL BAY,19 Keppel Bay View  #05-62 ,100,Strata,28-Sep-2017,Condominium,99 Yrs From 15/03/2006,2011,Resale,4,9,98412,Central Region,Bukit Merah,2017-9,1.2659299243100002,103.810295592,5.0,62.0,1803108
3795,OLEANAS RESIDENCE,42 Kim Yam Road  #11-05 ,114,Strata,28-Sep-2017,Condominium,Freehold,1999,Resale,9,23,239347,Central Region,River Valley,2017-9,1.2933501131899998,103.838881951,11.0,5.0,1814996
3796,KOVAN MELODY,21 Kovan Road  #13-16 ,127,Strata,28-Sep-2017,Condominium,99 Yrs From 20/01/2004,2006,Resale,19,54,548192,North East Region,Hougang,2017-9,1.36005935253,103.88355036700001,13.0,16.0,1541300
3797,N.A.,14 Lorong Marican ,710,Land,28-Sep-2017,Detached House,Freehold,Unknown,Resale,14,41,417211,East Region,Bedok,2017-9,1.3194419074600001,103.909094493,,,7772580
3798,M21,21 Mandalay Road  #14-03 ,163,Strata,28-Sep-2017,Apartment,Freehold,2010,Resale,11,30,308208,Central Region,Novena,2017-9,1.32238452872,103.84886770600001,14.0,3.0,2228141
3799,CLYDES RESIDENCE,78 Mergui Road  #10-01 ,104,Strata,28-Sep-2017,Apartment,Freehold,2005,Resale,8,21,219054,Central Region,Kallang,2017-9,1.3173494246700002,103.852213475,10.0,1.0,1254201
3800,LIVIA,75 Pasir Ris Grove  #15-30 ,249,Strata,28-Sep-2017,Condominium,99 Yrs From 07/01/2008,2011,Resale,18,51,518207,East Region,Pasir Ris,2017-9,1.37304121,103.943306599,15.0,30.0,2033074
3801,RIPPLE BAY,10 Pasir Ris Link  #09-41 ,73,Strata,28-Sep-2017,Condominium,99 Yrs From 10/08/2011,2015,Resale,18,51,518163,East Region,Pasir Ris,2017-9,1.3783738348899999,103.960905003,9.0,41.0,780829
3802,VIDA,5 Peck Hay Road  #12-01 ,78,Strata,28-Sep-2017,Apartment,Freehold,2009,Resale,9,22,228307,Central Region,Newton,2017-9,1.30853889227,103.83908981799999,12.0,1.0,1567807
3803,PONGGOL PARK,17 Ponggol Twenty-Fourth Avenue ,474,Land,28-Sep-2017,Detached House,999 Yrs From 01/05/1874,1975,Resale,19,82,829488,North East Region,Punggol,2017-9,1.4185655569600002,103.865898554,,,4607128
3804,UP@ROBERTSON QUAY,92 Robertson Quay  #04-10 ,69,Strata,28-Sep-2017,Apartment,99 Yrs From 07/06/2011,2015,Resale,9,23,238260,Central Region,Singapore River,2017-9,1.29088446185,103.837496108,4.0,10.0,1774745
3805,THE SCALA,138 Serangoon Avenue 3  #07-28 ,96,Strata,28-Sep-2017,Apartment,99 Yrs From 06/01/2010,2013,Resale,19,55,554475,North East Region,Serangoon,2017-9,1.3508798257799999,103.865272874,7.0,28.0,1297228
3806,MANDARIN GARDENS,5 Siglap Road  #23-41 ,77,Strata,28-Sep-2017,Condominium,99 Yrs From 08/03/1982,1986,Resale,15,44,448908,East Region,Bedok,2017-9,1.30740630793,103.92348175,23.0,41.0,875543
3807,WATERVIEW,87 Tampines Avenue 1  #08-31 ,86,Strata,28-Sep-2017,Condominium,99 Yrs From 16/06/2010,2014,Resale,18,52,528688,East Region,Tampines,2017-9,1.3487538424799999,103.926337529,8.0,31.0,940231
3808,CASUARINA COVE,120 Tanjong Rhu Road  #13-02 ,148,Strata,28-Sep-2017,Condominium,99 Yrs From 20/10/1993,1996,Resale,15,43,436904,Central Region,Kallang,2017-9,1.29749471072,103.87460165600001,13.0,2.0,1746580
3809,SANCTUARY GREEN,181 Tanjong Rhu Road  #02-11 ,113,Strata,28-Sep-2017,Condominium,99 Yrs From 17/03/1997,2004,Resale,15,43,436922,Central Region,Kallang,2017-9,1.2959548140000001,103.87167607200001,2.0,11.0,1405797
3810,HARBOURLIGHTS,68 Telok Blangah Road  #03-03 ,116,Strata,28-Sep-2017,Apartment,Freehold,1997,Resale,4,9,98865,Central Region,Bukit Merah,2017-9,1.2665601043899999,103.82289252,3.0,3.0,1586005
3811,CUBE 8,376 Thomson Road  #15-06 ,52,Strata,28-Sep-2017,Condominium,Freehold,2013,Resale,11,29,298130,Central Region,Novena,2017-9,1.32836285759,103.841418775,15.0,6.0,833509
3812,TREVOSE PARK,68 Trevose Crescent  #04-09 ,153,Strata,28-Sep-2017,Condominium,Freehold,1991,Resale,11,29,298069,Central Region,Novena,2017-9,1.32540113062,103.82529895,4.0,9.0,2213342
3813,EIGHT RIVERSUITES,14 Whampoa East ,279,Strata,28-Sep-2017,Terrace House,99 Yrs From 11/07/2011,2016,Resale,12,33,338523,Central Region,Kallang,2017-9,1.32171149605,103.865898554,,,2220548
3814,N.A.,42A Woo Mon Chew Road ,184,Land,28-Sep-2017,Terrace House,Freehold,1994,Resale,15,45,455118,East Region,Bedok,2017-9,1.31665285631,103.929716534,,,2810759
3815,ONE AMBER,9 Amber Gardens  #15-27 ,129,Strata,28-Sep-2017,Condominium,Freehold,2010,Resale,15,43,439958,Central Region,Marine Parade,2017-9,1.3014899346100002,103.89867528100001,15.0,27.0,1957715
3816,THE SHORE RESIDENCES,81 Amber Road  #10-06 ,55,Strata,28-Sep-2017,Condominium,103 Yrs From 18/08/2009,2014,Resale,15,43,439893,Central Region,Marine Parade,2017-9,1.30280754093,103.90098555600001,10.0,6.0,904127
3817,CENTRO RESIDENCES,59 Ang Mo Kio Avenue 8  #16-03 ,86,Strata,28-Sep-2017,Condominium,99 Yrs From 11/12/2007,2014,Resale,20,56,567752,North East Region,Ang Mo Kio,2017-9,1.37031470718,103.848370911,16.0,3.0,1209838
3818,SKY HABITAT,7 Bishan Street 15  #33-03 ,163,Strata,28-Sep-2017,Condominium,99 Yrs From 30/05/2011,2015,Resale,20,57,573908,Central Region,Bishan,2017-9,1.35258333248,103.851759157,33.0,3.0,2641010
3819,SERANGOON GARDEN ESTATE,40 Bodmin Drive ,260,Land,28-Sep-2017,Terrace House,999 Yrs From 01/01/1955,Unknown,Resale,19,55,559639,North East Region,Serangoon,2017-9,1.36209770782,103.865898554,,,2899475
3820,YISHUN EMERALD,20 Canberra Drive  #11-04 ,95,Strata,28-Sep-2017,Condominium,99 Yrs From 16/02/1998,2002,Resale,27,76,768425,North Region,Yishun,2017-9,1.4390678966600001,103.83026476,11.0,4.0,788599
3821,CHENG SOON GARDEN,5 Cheng Soon Garden ,187,Land,28-Sep-2017,Terrace House,Freehold,1982,Resale,21,59,599785,Central Region,Bukit Timah,2017-9,1.33463189346,103.865898554,,,2829581
3822,THE WARREN,47 Choa Chu Kang Loop  #12-17 ,114,Strata,28-Sep-2017,Condominium,99 Yrs From 21/06/2001,2004,Resale,23,68,689680,West Region,Choa Chu Kang,2017-9,1.38639776366,103.74256392,12.0,17.0,995779
3823,WINDERMERE,20 Choa Chu Kang Street 64  #21-01 ,135,Strata,28-Sep-2017,Executive Condominium,99 Yrs From 03/03/1997,1999,Resale,23,68,689093,West Region,Choa Chu Kang,2017-9,1.39774826829,103.751580707,21.0,1.0,922582
3824,THE INTERLACE,204 Depot Road  #12-48 ,370,Strata,28-Sep-2017,Condominium,99 Yrs From 11/02/2009,2013,Resale,4,10,109696,Central Region,Bukit Merah,2017-9,1.28340303963,103.804002024,12.0,48.0,3455530
3825,THE INTERLACE,210 Depot Road  #06-59 ,371,Strata,28-Sep-2017,Condominium,99 Yrs From 11/02/2009,2013,Resale,4,10,109699,Central Region,Bukit Merah,2017-9,1.28272832309,103.804255689,6.0,59.0,3551121
3826,THE INTERLACE,222 Depot Road  #21-79 ,369,Strata,28-Sep-2017,Condominium,99 Yrs From 11/02/2009,2013,Resale,4,10,109705,Central Region,Bukit Merah,2017-9,1.28302615365,103.803144435,21.0,79.0,3490924
3827,FRANKEL ESTATE,97A Dunbar Walk ,368,Land,28-Sep-2017,Semi-Detached House,Freehold,Unknown,Resale,15,45,459410,East Region,Bedok,2017-9,1.31459837926,103.91842365,,,4976402
3828,OPERA ESTATE,33 Ernani Street ,149,Land,28-Sep-2017,Terrace House,Freehold,Unknown,Resale,15,45,458638,East Region,Bedok,2017-9,1.3195377853899999,103.925424205,,,2246040
3829,THE GRANGE,1 Grange Garden  #13-05 ,212,Strata,28-Sep-2017,Condominium,Freehold,2008,Resale,10,24,249631,Central Region,River Valley,2017-9,1.3012968087899999,103.82371279600001,13.0,5.0,4469783
3830,GRAMERCY PARK,57 Grange Road  #17-07 ,118,Strata,28-Sep-2017,Condominium,Freehold,2016,Resale,10,24,249569,Central Region,Tanglin,2017-9,1.2983710257899999,103.82642846,17.0,7.0,3696203
3831,MONTROSA,132A Hillview Avenue  #07-01 ,107,Strata,28-Sep-2017,Condominium,999 Yrs From 12/10/1885,1999,Resale,23,66,669604,West Region,Bukit Batok,2017-9,1.3571818626700003,103.75982788700001,7.0,1.0,961806
3832,N.A.,9 Jalan Novena Utara ,293,Land,28-Sep-2017,Semi-Detached House,Freehold,Unknown,Resale,11,30,308487,Central Region,Novena,2017-9,1.32361761019,103.865898554,,,4169092
3833,THE IMPERIAL,3 Jalan Rumbia  #13-05 ,317,Strata,28-Sep-2017,Condominium,Freehold,2006,Resale,9,23,239617,Central Region,Museum,2017-9,1.2951700000000002,103.842636,13.0,5.0,6062151
3834,JERVOIS JADE APARTMENTS,21 Jervois Close  #19-01 ,202,Strata,28-Sep-2017,Apartment,99 Yrs From 09/04/1998,2000,Resale,10,24,249114,Central Region,Tanglin,2017-9,1.29245793227,103.82523052100001,19.0,1.0,2438329
3835,CASA EMERALD,51 Lorong 32 Geylang  #08-05 ,191,Strata,27-Sep-2017,Apartment,Freehold,2001,Resale,14,39,398311,Central Region,Geylang,2017-9,1.31211681345,103.887235268,8.0,5.0,1646433
3836,SOMMERVILLE REGENCY,22B Lorong Selangat ,236,Strata,27-Sep-2017,Terrace House,Freehold,2007,Resale,13,35,358732,North East Region,Serangoon,2017-9,1.34598155785,103.868239788,,,1952345
3837,N.A.,103A Lorong G Telok Kurau ,486,Land,27-Sep-2017,Terrace House,Freehold,1987,Resale,15,42,426303,East Region,Bedok,2017-9,1.31831723229,103.865898554,,,3911118
3838,SUNNY PALMS,65 Lorong G Telok Kurau  #03-15 ,96,Strata,27-Sep-2017,Condominium,Freehold,2004,Resale,15,42,426323,East Region,Bedok,2017-9,1.31743535042,103.910838016,3.0,15.0,1019815
3839,KILAT 19,19 Lorong Kilat  #03-03 ,171,Strata,27-Sep-2017,Apartment,Freehold,1986,Resale,21,59,598120,Central Region,Bukit Timah,2017-9,1.34084195335,103.77363978700001,3.0,3.0,1608079
3840,8 NAPIER,8 Napier Road  #08-02 ,187,Strata,27-Sep-2017,Condominium,Freehold,2010,Resale,10,25,258502,Central Region,Tanglin,2017-9,1.30691538028,103.820699115,8.0,2.0,4205158
3841,N.A.,253A Onan Road ,207,Land,27-Sep-2017,Terrace House,Freehold,1991,Resale,15,42,424637,Central Region,Geylang,2017-9,1.3108041133600001,103.900837591,,,2695877
3842,PAVILION PARK,206 Pavilion Circle ,150,Land,27-Sep-2017,Terrace House,Freehold,2014,Resale,23,65,658005,West Region,Bukit Batok,2017-9,1.3684361304,103.865898554,,,2685963
3843,MANDARIN GARDENS,5 Siglap Road  #10-40 ,68,Strata,27-Sep-2017,Condominium,99 Yrs From 08/03/1982,1986,Resale,15,44,448908,East Region,Bedok,2017-9,1.30740630793,103.92348175,10.0,40.0,738654
3844,CHANGI RISE CONDOMINIUM,2 Simei Rise  #08-05 ,117,Strata,27-Sep-2017,Condominium,99 Yrs From 29/11/2000,2004,Resale,18,52,528800,East Region,Tampines,2017-9,1.34775738321,103.959931452,8.0,5.0,961641
3845,SUNBIRD PARK,165 Sunbird Road ,150,Land,27-Sep-2017,Terrace House,Freehold,1992,Resale,16,48,487211,East Region,Tampines,2017-9,1.33867965179,103.865898554,,,1992865
3846,TAI HWAN GARDEN,49 Tai Hwan Heights ,431,Land,27-Sep-2017,Detached House,Freehold,2002,Resale,19,55,555394,North East Region,Serangoon,2017-9,1.3583222883700001,103.86115940799999,,,3430635
3847,PEBBLE BAY,130 Tanjong Rhu Road  #10-10 ,217,Strata,27-Sep-2017,Condominium,99 Yrs From 09/03/1994,1997,Resale,15,43,436918,Central Region,Kallang,2017-9,1.29738611221,103.871905528,10.0,10.0,3107958
3848,EMERALD EAST,8D Tanjong Rhu Road  #09-03 ,86,Strata,27-Sep-2017,Apartment,Freehold,1999,Resale,15,43,436892,Central Region,Kallang,2017-9,1.29962292533,103.88377661,9.0,3.0,1049602
3849,CUBE 8,376 Thomson Road  #31-01 ,124,Strata,27-Sep-2017,Condominium,Freehold,2013,Resale,11,29,298130,Central Region,Novena,2017-9,1.32836285759,103.841418775,31.0,1.0,1943977
3850,RIVERSAILS,12 Upper Serangoon Crescent  #09-32 ,103,Strata,27-Sep-2017,Condominium,99 Yrs From 07/12/2011,2016,Resale,19,53,534030,North East Region,Hougang,2017-9,1.3792687354,103.90311854,9.0,32.0,1057832
3851,N.A.,3 Andrews Terrace ,155,Land,27-Sep-2017,Terrace House,99 Yrs From 28/01/2008,2011,Resale,27,75,757418,North Region,Sembawang,2017-9,1.4588153261599999,103.83779708,,,1960365
3852,HILLTOPS,101 Cairnhill Circle  #18-03 ,148,Strata,27-Sep-2017,Condominium,Freehold,2011,Resale,9,22,229809,Central Region,Newton,2017-9,1.307399,103.838883,18.0,3.0,4981932
3853,CAIRNHILL PLAZA,53 Cairnhill Road  #21-02 ,213,Strata,27-Sep-2017,Apartment,Freehold,1978,Resale,9,22,229664,Central Region,Newton,2017-9,1.30616222567,103.836994536,21.0,2.0,3329980
3854,HEDGES PARK CONDOMINIUM,87 Flora Drive  #07-55 ,125,Strata,27-Sep-2017,Condominium,99 Yrs From 28/07/2010,2015,Resale,17,50,506889,East Region,Pasir Ris,2017-9,1.35463878932,103.967836201,7.0,55.0,1129201
3855,MOUNT ROSIE GARDEN,50 Goldhill Avenue  #03-02 ,209,Strata,27-Sep-2017,Condominium,Freehold,1983,Resale,11,30,309031,Central Region,Novena,2017-9,1.3215195166,103.83394702700001,3.0,2.0,3032662
3856,ICON,10 Gopeng Street  #08-05 ,54,Strata,27-Sep-2017,Apartment,99 Yrs From 29/01/2002,2007,Resale,2,7,78878,Central Region,Downtown Core,2017-9,1.27516187837,103.844538441,8.0,5.0,1003740
3857,N.A.,11A How Sun Road ,119,Land,27-Sep-2017,Terrace House,Freehold,Unknown,Resale,19,53,538490,North East Region,Serangoon,2017-9,1.34492604102,103.865898554,,,1565043
3858,TERRENE AT BUKIT TIMAH,115 Jalan Jurong Kechil  #01-11 ,123,Strata,27-Sep-2017,Condominium,999 Yrs From 19/06/1885,2013,Resale,21,59,598676,Central Region,Bukit Timah,2017-9,1.34101528933,103.770977343,1.0,11.0,1704440
3859,VILLA MARINA,21 Jalan Sempadan  #01-10 ,150,Strata,27-Sep-2017,Condominium,99 Yrs From 13/02/1995,1999,Resale,15,45,457398,East Region,Bedok,2017-9,1.31106055732,103.92796254299999,1.0,10.0,1302754
3860,THE MAYFAIR,3 Jurong East Street 32  #15-03 ,108,Strata,27-Sep-2017,Condominium,99 Yrs From 04/12/1996,2000,Resale,22,60,609478,West Region,Jurong East,2017-9,1.34562543518,103.733124503,15.0,3.0,1027837
3861,LEEDON 2,2 Leedon Road  #01-01 ,71,Strata,27-Sep-2017,Condominium,Freehold,1996,Resale,10,26,267829,Central Region,Bukit Timah,2017-9,1.3130736501,103.79690338299999,1.0,1.0,1106096
3862,TRELLIS TOWERS,700 Lorong 1 Toa Payoh  #24-01 ,138,Strata,27-Sep-2017,Condominium,Freehold,2000,Resale,12,31,319773,Central Region,Toa Payoh,2017-9,1.33051517456,103.84385082700001,24.0,1.0,1883398
3863,THE MAYFAIR,7 Jurong East Street 32  #09-03 ,83,Strata,26-Sep-2017,Condominium,99 Yrs From 04/12/1996,2000,Resale,22,60,609480,West Region,Jurong East,2017-9,1.34611548159,103.733587037,9.0,3.0,832687
3864,STRATA,1 Essex Road  #07-03 ,47,Strata,26-Sep-2017,Apartment,Freehold,2006,Resale,11,30,309329,Central Region,Novena,2017-9,1.31740718973,103.844914571,7.0,3.0,892514
3865,N.A.,27B Lorong Kilat ,293,Strata,26-Sep-2017,Apartment,Freehold,1984,Resale,21,59,598128,Central Region,Bukit Timah,2017-9,1.34106810811,103.865898554,,,2019034
3866,PARC EMILY,9 Mount Emily Road  #08-21 ,161,Strata,26-Sep-2017,Condominium,Freehold,2008,Resale,9,22,228492,Central Region,Rochor,2017-9,1.3035670122,103.848733778,8.0,21.0,2600935
3867,THE OCEANFRONT @ SENTOSA COVE,285 Ocean Drive  #04-07 ,172,Strata,26-Sep-2017,Condominium,99 Yrs From 10/08/2005,2010,Resale,4,9,98529,Central Region,Southern Islands,2017-9,1.24374486765,103.842511125,4.0,7.0,2865180
3868,RIPPLE BAY,6 Pasir Ris Link  #03-21 ,74,Strata,26-Sep-2017,Condominium,99 Yrs From 10/08/2011,2015,Resale,18,51,518161,East Region,Pasir Ris,2017-9,1.3778970474899999,103.961551039,3.0,21.0,784122
3869,NIN RESIDENCE,83 Pheng Geck Avenue  #02-10 ,83,Strata,26-Sep-2017,Apartment,99 Yrs From 13/09/2010,2014,Resale,13,34,348270,Central Region,Toa Payoh,2017-9,1.33251171182,103.87004383600001,2.0,10.0,1138582
3870,RIVERSIDE MELODIES,26A St. Michael'S Road  #05-02 ,132,Strata,26-Sep-2017,Apartment,Freehold,2014,Resale,12,32,327995,Central Region,Kallang,2017-9,1.327336,103.86410699999999,5.0,2.0,1660958
3871,THE WATERSIDE,3 Tanjong Rhu Road  #23-02 ,226,Strata,26-Sep-2017,Condominium,Freehold,1992,Resale,15,43,436881,Central Region,Kallang,2017-9,1.29755452549,103.884440936,23.0,2.0,3248129
3872,THE LINEAR,884 Upper Bukit Timah Road  #05-11 ,116,Strata,26-Sep-2017,Apartment,999 Yrs From 02/10/1876,2006,Resale,23,67,678183,West Region,Bukit Panjang,2017-9,1.3752521885100002,103.762883784,5.0,11.0,1081950
3873,NORTHOAKS,26 Woodlands Crescent  #12-25 ,116,Strata,26-Sep-2017,Executive Condominium,99 Yrs From 16/12/1997,2000,Resale,25,73,738084,North Region,Woodlands,2017-9,1.44496580502,103.80688032799999,12.0,25.0,797632
3874,GALLOP GREEN,19 Woollerton Park  #01-22 ,332,Strata,26-Sep-2017,Condominium,Freehold,2002,Resale,10,25,257537,Central Region,Tanglin,2017-9,1.31516865032,103.808110746,1.0,22.0,5370620
3875,THE ESPIRA,128 Lorong L Telok Kurau  #02-01 ,101,Strata,26-Sep-2017,Apartment,Freehold,2009,Resale,15,42,425563,East Region,Bedok,2017-9,1.3121118068000002,103.91469689200001,2.0,1.0,1092309
3876,N.A.,32G Nassim Road ,1235,Land,26-Sep-2017,Detached House,Freehold,1983,Resale,10,25,258414,Central Region,Tanglin,2017-9,1.31235821324,103.821982956,,,21154220
3877,RV RESIDENCES,469 River Valley Road  #07-29 ,113,Strata,26-Sep-2017,Condominium,999 Yrs From 21/06/1877,2015,Resale,10,24,248354,Central Region,Tanglin,2017-9,1.294296,103.828132,7.0,29.0,2293404
3878,PARKSHORE,201 Tanjong Rhu Road  #01-02 ,123,Strata,26-Sep-2017,Condominium,Freehold,1995,Resale,15,43,436917,Central Region,Kallang,2017-9,1.29670765895,103.87063424899999,1.0,2.0,1480014
3879,THE QUARTZ,57 Compassvale Bow  #09-16 ,106,Strata,26-Sep-2017,Condominium,99 Yrs From 18/04/2005,2009,Resale,19,54,544987,North East Region,Sengkang,2017-9,1.38087241692,103.89373578700001,9.0,16.0,1066775
3880,GENTLE VILLAS,40 Gentle Drive ,210,Land,26-Sep-2017,Semi-Detached House,99 Yrs From 27/01/1993,1995,Resale,11,30,309243,Central Region,Novena,2017-9,1.3207611047299999,103.865898554,,,2815506
3881,HAZEL PARK CONDOMINIUM,29 Hazel Park Terrace  #02-01 ,91,Strata,26-Sep-2017,Condominium,999 Yrs From 25/09/1882,2000,Resale,23,67,678950,West Region,Bukit Panjang,2017-9,1.3723976086899998,103.764689474,2.0,1.0,1001976
3882,SKY HABITAT,9 Bishan Street 15  #24-12 ,108,Strata,26-Sep-2017,Condominium,99 Yrs From 30/05/2011,2015,Resale,20,57,573909,Central Region,Bishan,2017-9,1.35199068408,103.85203751,24.0,12.0,1664486
3883,CASA ESPERANZA,995 Bukit Timah Road  #07-04 ,176,Strata,26-Sep-2017,Condominium,Freehold,1992,Resale,21,58,589632,Central Region,Bukit Timah,2017-9,1.33490469794,103.783454025,7.0,4.0,2246069
3884,CUSCADEN ROYALE,5 Cuscaden Walk  #09-03 ,149,Strata,26-Sep-2017,Apartment,Freehold,2010,Resale,10,24,249696,Central Region,River Valley,2017-9,1.30363087183,103.829230023,9.0,3.0,3147830
